Partlist

Exported from Tommy.sch at 11/21/2013 11:01:43 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part            Value                Device                          Package                Library              Sheet

ANALOG_0                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_1                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_2                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_3                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
OUTPUT_BANK_0   26-61-4090           PH_1X09MOLEX_KK_9               MOLEX_KK_9             PP_Connectors        1
OUTPUT_BANK_1   26-61-4090           PH_1X09MOLEX_KK_9               MOLEX_KK_9             PP_Connectors        1
OUTPUT_BANK_2   26-61-4090           PH_1X09MOLEX_KK_9               MOLEX_KK_9             PP_Connectors        1
OUTPUT_BANK_3   26-61-4090           PH_1X09MOLEX_KK_9               MOLEX_KK_9             PP_Connectors        1
PC_POWER_SUPPLY MOLEX_39-29-9202     PH_2X10MOLEX_39-29-9202         MOLEX_39-29-9202       PP_Connectors        1
R1              330                  RESISTOR0402                    0402                   PP_Passives          1
R2              330                  RESISTOR0402                    0402                   PP_Passives          1
R3              330                  RESISTOR0402                    0402                   PP_Passives          1
R4              10K                  RESISTOR0402                    0402                   PP_Passives          1
R5              10K                  RESISTOR0402                    0402                   PP_Passives          1
R6              10K                  RESISTOR0402                    0402                   PP_Passives          1
R7              10K                  RESISTOR0402                    0402                   PP_Passives          1
R8              10K                  RESISTOR0402                    0402                   PP_Passives          1
R9              10K                  RESISTOR0402                    0402                   PP_Passives          1
R10             10K                  RESISTOR0402                    0402                   PP_Passives          1
R11             10K                  RESISTOR0402                    0402                   PP_Passives          1
R12             1.25K                RESISTOR0402                    0402                   PP_Passives          1
R13             1.25K                RESISTOR0402                    0402                   PP_Passives          1
R14             1.25K                RESISTOR0402                    0402                   PP_Passives          1
R15             10K                  RESISTOR0402                    0402                   PP_Passives          1
R16             10K                  RESISTOR0402                    0402                   PP_Passives          1
R17             10K                  RESISTOR0402                    0402                   PP_Passives          1
R18             10K                  RESISTOR0402                    0402                   PP_Passives          1
R19             10K                  RESISTOR0402                    0402                   PP_Passives          1
R20             10K                  RESISTOR0402                    0402                   PP_Passives          1
R21             10K                  RESISTOR0402                    0402                   PP_Passives          1
R22             10K                  RESISTOR0402                    0402                   PP_Passives          1
R23             10K                  RESISTOR0402                    0402                   PP_Passives          1
R24             10K                  RESISTOR0402                    0402                   PP_Passives          1
R25             10K                  RESISTOR0402                    0402                   PP_Passives          1
R26             10K                  RESISTOR0402                    0402                   PP_Passives          1
R27             10K                  RESISTOR0402                    0402                   PP_Passives          1
R28             10K                  RESISTOR0402                    0402                   PP_Passives          1
R29             10K                  RESISTOR0402                    0402                   PP_Passives          1
R30             10K                  RESISTOR0402                    0402                   PP_Passives          1
R31             10K                  RESISTOR0402                    0402                   PP_Passives          1
R32             10K                  RESISTOR0402                    0402                   PP_Passives          1
R33             10K                  RESISTOR0402                    0402                   PP_Passives          1
R34             10K                  RESISTOR0402                    0402                   PP_Passives          1
R35             10K                  RESISTOR0402                    0402                   PP_Passives          1
R36             10K                  RESISTOR0402                    0402                   PP_Passives          1
R37             10K                  RESISTOR0402                    0402                   PP_Passives          1
R38             10K                  RESISTOR0402                    0402                   PP_Passives          1
R39             10K                  RESISTOR0402                    0402                   PP_Passives          1
R40             10K                  RESISTOR0402                    0402                   PP_Passives          1
R41             10K                  RESISTOR0402                    0402                   PP_Passives          1
R42             10K                  RESISTOR0402                    0402                   PP_Passives          1
R43             10K                  RESISTOR0402                    0402                   PP_Passives          1
R44             10K                  RESISTOR0402                    0402                   PP_Passives          1
R45             10K                  RESISTOR0402                    0402                   PP_Passives          1
R46             10K                  RESISTOR0402                    0402                   PP_Passives          1
R47             180                  RESISTOR0402                    0402                   PP_Passives          1
R48             180                  RESISTOR0402                    0402                   PP_Passives          1
R49             180                  RESISTOR0402                    0402                   PP_Passives          1
R50             180                  RESISTOR0402                    0402                   PP_Passives          1
R51             100                  RESISTOR0402                    0402                   PP_Passives          1
R52             100                  RESISTOR0402                    0402                   PP_Passives          1
R53             100                  RESISTOR0402                    0402                   PP_Passives          1
R54             100                  RESISTOR0402                    0402                   PP_Passives          1
R55             180                  RESISTOR0402                    0402                   PP_Passives          1
R56             180                  RESISTOR0402                    0402                   PP_Passives          1
R57             180                  RESISTOR0402                    0402                   PP_Passives          1
R58             180                  RESISTOR0402                    0402                   PP_Passives          1
R59             100                  RESISTOR0402                    0402                   PP_Passives          1
R60             100                  RESISTOR0402                    0402                   PP_Passives          1
R61             100                  RESISTOR0402                    0402                   PP_Passives          1
R62             100                  RESISTOR0402                    0402                   PP_Passives          1
R63             180                  RESISTOR0402                    0402                   PP_Passives          1
R64             180                  RESISTOR0402                    0402                   PP_Passives          1
R65             180                  RESISTOR0402                    0402                   PP_Passives          1
R66             180                  RESISTOR0402                    0402                   PP_Passives          1
R67             100                  RESISTOR0402                    0402                   PP_Passives          1
R68             100                  RESISTOR0402                    0402                   PP_Passives          1
R69             100                  RESISTOR0402                    0402                   PP_Passives          1
R70             100                  RESISTOR0402                    0402                   PP_Passives          1
R71             180                  RESISTOR0402                    0402                   PP_Passives          1
R72             180                  RESISTOR0402                    0402                   PP_Passives          1
R73             180                  RESISTOR0402                    0402                   PP_Passives          1
R74             180                  RESISTOR0402                    0402                   PP_Passives          1
R75             100                  RESISTOR0402                    0402                   PP_Passives          1
R76             100                  RESISTOR0402                    0402                   PP_Passives          1
R77             100                  RESISTOR0402                    0402                   PP_Passives          1
R78             100                  RESISTOR0402                    0402                   PP_Passives          1
R79             180                  RESISTOR0402                    0402                   PP_Passives          1
R80             180                  RESISTOR0402                    0402                   PP_Passives          1
R81             180                  RESISTOR0402                    0402                   PP_Passives          1
R82             180                  RESISTOR0402                    0402                   PP_Passives          1
R83             100                  RESISTOR0402                    0402                   PP_Passives          1
R84             100                  RESISTOR0402                    0402                   PP_Passives          1
R85             100                  RESISTOR0402                    0402                   PP_Passives          1
R86             100                  RESISTOR0402                    0402                   PP_Passives          1
R87             180                  RESISTOR0402                    0402                   PP_Passives          1
R88             180                  RESISTOR0402                    0402                   PP_Passives          1
R89             180                  RESISTOR0402                    0402                   PP_Passives          1
R90             180                  RESISTOR0402                    0402                   PP_Passives          1
R91             100                  RESISTOR0402                    0402                   PP_Passives          1
R92             100                  RESISTOR0402                    0402                   PP_Passives          1
R93             100                  RESISTOR0402                    0402                   PP_Passives          1
R94             100                  RESISTOR0402                    0402                   PP_Passives          1
R95             180                  RESISTOR0402                    0402                   PP_Passives          1
R96             180                  RESISTOR0402                    0402                   PP_Passives          1
R97             180                  RESISTOR0402                    0402                   PP_Passives          1
R98             180                  RESISTOR0402                    0402                   PP_Passives          1
R99             100                  RESISTOR0402                    0402                   PP_Passives          1
R100            100                  RESISTOR0402                    0402                   PP_Passives          1
R101            100                  RESISTOR0402                    0402                   PP_Passives          1
R102            100                  RESISTOR0402                    0402                   PP_Passives          1
R103            180                  RESISTOR0402                    0402                   PP_Passives          1
R104            180                  RESISTOR0402                    0402                   PP_Passives          1
R105            180                  RESISTOR0402                    0402                   PP_Passives          1
R106            180                  RESISTOR0402                    0402                   PP_Passives          1
R107            100                  RESISTOR0402                    0402                   PP_Passives          1
R108            100                  RESISTOR0402                    0402                   PP_Passives          1
R109            100                  RESISTOR0402                    0402                   PP_Passives          1
R110            100                  RESISTOR0402                    0402                   PP_Passives          1
R111            180                  RESISTOR0402                    0402                   PP_Passives          1
R112            180                  RESISTOR0402                    0402                   PP_Passives          1
R113            180                  RESISTOR0402                    0402                   PP_Passives          1
R114            180                  RESISTOR0402                    0402                   PP_Passives          1
R115            100                  RESISTOR0402                    0402                   PP_Passives          1
R116            100                  RESISTOR0402                    0402                   PP_Passives          1
R117            100                  RESISTOR0402                    0402                   PP_Passives          1
R118            100                  RESISTOR0402                    0402                   PP_Passives          1
R119            180                  RESISTOR0402                    0402                   PP_Passives          1
